id,email,phone,user_type,profile_image_url,auth_provider,is_active,last_login,created_at,updated_at
a948a7a6-7535-45c1-95dc-6ebb8fa72b34,sarah.chen@harvard.edu,,consultant,,{email},true,2025-07-13T15:45:02.692097Z,2025-05-25T18:45:02.692089Z,2025-05-25T18:45:02.692089Z
7cefd294-6775-497d-a13a-373eea813373,james.wilson@harvard.edu,,consultant,,{email},true,2025-07-14T08:45:02.692109Z,2025-05-26T18:45:02.692108Z,2025-05-26T18:45:02.692108Z
639b801b-e0cd-4231-9139-0eda9cb7e39a,priya.sharma@harvard.edu,,consultant,,{email},true,2025-07-14T01:45:02.692116Z,2025-05-27T18:45:02.692115Z,2025-05-27T18:45:02.692115Z
f287b0f4-6204-40ae-9272-592af357cc80,michael.johnson@stanford.edu,,consultant,,{email},true,2025-07-13T21:45:02.692121Z,2025-05-28T18:45:02.692120Z,2025-05-28T18:45:02.692120Z
1684c912-8fc3-4d46-862a-c5e9177530a4,lisa.wang@stanford.edu,,consultant,,{email},true,2025-07-14T07:45:02.692126Z,2025-05-29T18:45:02.692125Z,2025-05-29T18:45:02.692125Z
dfca436c-036a-4194-9b00-a821dd6591a4,emily.patel@mit.edu,,consultant,,{email},true,2025-07-14T12:45:02.692130Z,2025-05-30T18:45:02.692129Z,2025-05-30T18:45:02.692129Z
ffd289d6-f731-49ef-980c-8f7cd8798f37,alex.rodriguez@mit.edu,,consultant,,{email},true,2025-07-13T00:45:02.692134Z,2025-05-31T18:45:02.692133Z,2025-05-31T18:45:02.692133Z
592147d1-1492-4d53-b4c7-09bfbb684c02,david.kim@yale.edu,,consultant,,{email},true,2025-07-14T05:45:02.692138Z,2025-06-01T18:45:02.692137Z,2025-06-01T18:45:02.692137Z
751de371-730d-4bd3-9e89-620b5d68d490,sophie.martinez@yale.edu,,consultant,,{email},true,2025-07-13T03:45:02.692142Z,2025-06-02T18:45:02.692141Z,2025-06-02T18:45:02.692141Z
f1ca40f8-cb70-440e-b7d3-685fa42c5c1e,ryan.thomas@princeton.edu,,consultant,,{email},true,2025-07-13T22:45:02.692146Z,2025-06-03T18:45:02.692145Z,2025-06-03T18:45:02.692145Z
de41442f-3642-4392-bf01-1e8bbec2f50a,nina.patel@princeton.edu,,consultant,,{email},true,2025-07-13T20:45:02.692149Z,2025-06-04T18:45:02.692149Z,2025-06-04T18:45:02.692149Z
f3189645-f5b7-46ec-858e-45334978f713,marcus.lee@columbia.edu,,consultant,,{email},true,2025-07-13T17:45:02.692153Z,2025-06-05T18:45:02.692152Z,2025-06-05T18:45:02.692152Z
c2ccddbe-8d8b-48af-ac98-a7e300af7cb8,jessica.brown@columbia.edu,,consultant,,{email},true,2025-07-14T14:45:02.692160Z,2025-06-06T18:45:02.692159Z,2025-06-06T18:45:02.692159Z
cf427c87-f260-49fb-9ced-d62cd6f78318,kevin.zhou@upenn.edu,,consultant,,{email},true,2025-07-13T10:45:02.692164Z,2025-06-07T18:45:02.692163Z,2025-06-07T18:45:02.692163Z
6e4ebdab-dad2-47ed-80b0-a444583756d5,amanda.davis@brown.edu,,consultant,,{email},true,2025-07-14T10:45:02.692168Z,2025-06-08T18:45:02.692167Z,2025-06-08T18:45:02.692167Z
37bc130e-32cb-40e4-aadc-9e00d7687e83,alex.thompson@gmail.com,,student,,{email},true,2025-07-09T19:45:02.692174Z,2025-05-25T18:45:02.692173Z,2025-05-25T18:45:02.692173Z
736857c4-9f42-4159-b34d-0c85fd6ec0ac,emma.wilson@gmail.com,,student,,{email},true,2025-07-11T18:45:02.692180Z,2025-05-26T18:45:02.692179Z,2025-05-26T18:45:02.692179Z
